0:migrant,workers,season,experiencing,knew,advertising,asian,contacted,design,liberals
1:analysis,supply,complaint,report,offered,expected,rule,signed,affair,transport
2:recommendation,association,written,transparency,consultation,stated,cover,selected,relation,charge
3:environment,study,measure,proposed,face,mechanism,second,seek,step,build
4:state,country,point,united,look,international,partner,building,difficult,effect
5:public,hour,committee,related,paid,foreign,protect,matter,temporary,aspect
6:intellectual,settlement,submission,phase,failure,let,explained,email,affect,parliamentarian
7:general,liberal,known,broken,abuse,exploitation,injustice,violence,integrity,worse
8:remains,welcoming,demonstrate,prosperous,enterprise,returned,confident,coordinated,imperative,tourism
9:started,built,culture,forget,easy,land,went,extremely,allowing,imagine
10:free,billion,human,property,fall,reading,prescription,element,sized,concerning
11:market,labour,business,partnership,investment,pacific,product,sustainable,invest,trans
12:personal,join,online,express,played,planning,fellow,couple,reducing,initial
13:mean,benefit,reason,standard,ability,impact,example,particular,policy,non
14:favour,needed,colleague,close,solution,starting,considering,examine,facing,vital
15:help,level,term,centre,form,young,supporting,initiative,common,industry
16:provide,current,order,individual,improve,especially,training,consider,ensure,play
17:support,people,life,community,issue,canada,work,better,change,time
18:result,year,average,application,priority,accepted,increasing,minimum,arrived,stage
19:information,number,purpose,fully,visa,affected,estimate,account,assist,excluding
20:decision,case,line,file,allowed,dollar,authority,conducted,discussed,determine
21:efficient,asylum,primary,transparent,cross,claimant,colour,signature,ghost,correct
22:investor,ceta,union,dispute,europe,drug,tariff,pharmaceutical,european,trading
23:expense,fiscal,title,november,story,inquiry,expenditure,breakdown,submitted,approval
24:identity,doubled,proposes,writing,alike,receives,fixing,statistic,filed,suggest
25:environmental,area,indigenous,election,energy,local,morgan,kinder,promote,inclusive
26:lack,representing,weight,girl,royal,wrote,survive,contrary,harmful,selection
27:received,meeting,provided,removed,responsible,included,granted,providing,receive,required
28:health,address,service,protection,october,value,event,past,includes,discrimination
29:agreement,trade,sector,loss,leader,progressive,lead,negotiation,dairy,democratic
30:original,decline,exporter,monitor,century,steel,kingdom,merchandise,enable,north
31:supported,strong,increased,canadians,global,society,diversity,continue,citizen,parent
32:request,financial,seeking,held,fear,message,news,section,saint,page
33:woman,responsibility,prevent,quarter,option,east,estimated,gender,expanding,putting
34:economic,including,cost,debate,government,access,social,province,process,currently
35:citizenship,refugee,offer,immigration,resident,grow,economy,translation,english,innovation
36:corporation,content,finding,sign,tribunal,municipal,conservative,fishery,generic,theme
37:food,agriculture,farmer,agri,despite,happens,saskatchewan,faith,farm,auto
38:thousand,basic,happening,choose,vancouver,secondary,poor,hold,apparently,vast
39:million,ensuring,strengthen,implementing,spending,budget,statement,view,protected,worth
40:given,good,question,standing,security,vote,safety,demand,regard,available
41:expectation,evidence,argument,globally,beneficial,bigger,nominee,unfortunately,poverty,wife
42:best,seen,perspective,looking,concept,treated,enter,zealand,speaks,creative
43:nation,world,called,british,class,implement,columbia,generation,provides,pursue
44:minister,border,text,response,complete,return,moved,week,failed,entry
45:threat,contains,river,production,stock,cheese,adding,suffer,threatens,understands
46:date,office,loan,additional,denied,ircc,permit,january,sort,multiple
47:rejected,various,tabled,receiving,apply,false,rcmp,officer,refuse,deadline
48:fund,operation,regional,board,western,allocated,clearly,recall,possibility,credit
49:profit,inclusion,threshold,deepening,precarious,attempt,seriously,acknowledging,interested,conclude
50:caregiver,family,live,spouse,processing,backlog,month,reunite,wait,stream
51:provision,heard,council,witness,court,nafta,parliament,simply,regarding,spent
52:equivalent,administration,entity,assigned,recipient,criminal,ministerial,description,viii,legislative
53:force,growth,medium,addition,advantage,approach,beginning,essential,percentage,helping
54:export,comprehensive,firm,compensation,include,discus,february,participation,covered,island
55:total,grant,project,revenue,completely,tried,gone,sharing,duration,newly
56:heritage,cultural,montreal,america,visitor,saving,american,south,senate,peru
57:place,house,member,thing,national,today,motion,come,relationship,worked
58:travel,sponsorship,evening,award,projected,updated,attended,neighbourhood,philippine,household
59:opportunity,small,subject,group,role,diverse,contribution,language,contributed,population
60:learn,generous,democracy,enforce,deep,sustained,produce,proportion,restaurant,fishing
61:rate,claim,territory,paying,funding,data,review,associated,existing,biggest
62:affordable,conclusion,investing,industrial,paper,servant,china,labrador,commission,promised
63:money,city,identified,origin,prime,celebrate,families,insurance,constituency,facility
64:risk,opposed,pharmacare,largest,proper,effective,convenience,forced,vessel,expansion
65:want,think,going,bring,talk,allow,deal,saying,trying,raise
66:important,need,challenge,understand,mentioned,earlier,introduced,easier,keeping,giving
67:pilot,immigrant,atlantic,attract,success,newcomer,succeed,strategy,noted,integration
68:experience,toronto,greater,skill,overall,enhance,higher,status,resource,focus
69:right,know,little,getting,domestic,really,critical,situation,quality,practice
70:able,canadian,effort,significant,future,provincial,taking,course,potential,sense
71:middle,march,opened,announcement,amendment,confidence,maintaining,speed,june,improvement
72:lawyer,recognition,positive,setting,festival,mandate,establishing,break,contained,host
73:company,regulation,implementation,price,following,aware,nova,newfoundland,follow,scotia
74:organization,department,agency,april,period,student,understanding,official,code,december
